Num;NAME;RAJD;DECJD;P0;P1;DM;TAU_SC;
301;J0646+0905;101.62927083;9.09711111;0.903913;7.36e-16;147.85;0.01;
302;J0646-54;101.59333333;-54.88250000;0.002510;*;40.10;*;
303;J0647+0913;101.81533333;9.23319444;1.234854;6.42e-15;154.70;*;
304;J0648-27;102.00000000;-27.00000000;4.169000;*;132.50;*;
305;J0652-0142;103.04627500;-1.70841667;0.924054;1.52e-16;116.30;*;
306;J0653+06;103.25000000;-6.26666667;0.790000;*;83.70;*;
307;J0653+4706;103.27422083;47.10747778;0.004750;*;25.54;*;
308;B0643+80;103.31287500;80.86672778;1.214441;3.80e-15;33.32;*;
309;J0656-2228;104.12586250;-22.47376389;1.224754;2.67e-17;32.39;*;
310;J0656-5449;104.20412500;-54.82081111;0.183157;3.19e-17;67.50;*;
311;J0658+0022;104.56337083;0.37647222;0.563295;9.15e-15;115.60;*;
312;J0658+2936;104.43591667;29.60805556;0.823701;1.44e-15;39.00;*;
313;B0656+14;104.95081667;14.23872222;0.384929;5.49e-14;13.94;0.00;
314;J0659-36;104.75000000;-36.00000000;0.637000;*;83.40;*;
315;B0655+64;105.15750833;64.30311111;0.195671;6.85e-19;8.77;*;
316;J0702-4956;105.66375000;-49.94283333;0.665994;*;98.70;*;
317;J0709+0458;107.28485579;4.98097058;0.034429;3.80e-19;44.27;*;
318;J0709-5923;107.38555417;-59.39877778;0.485268;1.26e-16;65.00;*;
319;J0711+0931;107.90075000;9.52361111;1.214090;4.00e-16;46.24;*;
320;J0711-6830;107.97575018;-68.51315682;0.005491;1.49e-20;18.41;*;
321;J0719-2545;109.78075000;-25.75006389;0.974725;7.28e-15;253.89;*;
322;J0721-2038;110.42876958;-20.63529472;0.015542;4.40e-20;76.01;*;
323;J0725-1635;111.25168397;-16.59605977;0.424311;9.26e-17;98.98;*;
324;J0726-2612;111.53383333;-26.21058333;3.442308;2.93e-13;69.40;*;
325;J0729-1448;112.31854167;-14.81022222;0.251659;1.13e-13;91.89;*;
326;B0727-18;112.38473708;-18.61173444;0.510160;1.90e-14;61.29;*;
327;J0732+2314;113.15631500;23.24839167;0.004090;6.02e-21;44.67;*;
328;J0733-2345;113.35250000;-23.76561111;1.796250;5.70e-15;190.20;*;
329;J0736-6304;114.08337500;-63.07111111;4.862874;1.52e-13;19.40;*;
330;J0737-2202;114.43362917;-22.03481111;0.320366;5.47e-15;95.59;*;
331;J0737-3039A;114.46353508;-30.66130953;0.022699;1.76e-18;48.92;*;
332;J0737-3039B;114.46353508;-30.66130953;2.773461;8.92e-16;48.92;*;
333;B0736-40;114.63442500;-40.71095000;0.374921;1.38e-15;160.90;0.00;
334;J0738+6904;114.59419042;69.07223006;6.827693;2.70e-14;17.22;*;
335;J0740+6620;115.19080319;66.34264435;0.002886;1.22e-20;14.96;*;
336;J0741+17;115.25000000;17.05000000;1.730000;*;44.30;*;
337;B0740-28;115.70440833;-28.37882222;0.166762;1.68e-14;73.73;0.00;
338;J0742+4110;115.55091667;41.17083333;0.003139;*;20.82;*;
339;J0742+4334;115.67554167;43.56727778;0.606191;3.71e-16;36.26;*;
340;B0743-53;116.26866667;-53.88598889;0.214839;2.19e-15;121.38;0.00;
341;J0746-4529;116.74799167;-45.49073611;2.791025;1.67e-14;134.57;*;
342;J0747+6646;116.91536403;66.78243486;0.407701;6.78e-16;27.58;*;
343;J0749-4247;117.45697917;-42.79503889;1.095452;9.77e-16;104.59;0.00;
344;J0750+57;117.50000000;57.00000000;1.174875;*;26.70;*;
345;J0750-6846;117.64937500;-68.77605833;0.915216;1.10e-16;54.60;*;
346;J0751+1807;117.78814721;18.12735733;0.003479;7.79e-21;30.24;*;
347;J0753-0816;118.38750000;-8.32638889;2.093620;*;38.00;*;
348;B0751+32;118.66953333;32.53227778;1.442349;1.08e-15;39.99;0.00;
349;B0756-15;119.62112833;-15.46909389;0.682265;1.62e-15;63.33;*;
350;J0758-30;119.50000000;-30.00000000;1.092000;*;86.50;*;
351;J0803-0942;120.86186667;-9.71411389;0.571257;1.16e-15;21.10;*;
352;J0804-3647;121.09250000;-36.79319444;2.191987;4.21e-15;186.80;*;
353;J0806+08;121.52083333;8.28333333;2.063100;*;46.00;*;
354;J0807-5421;121.94660417;-54.35735000;0.526644;3.78e-16;165.03;*;
355;J0808-3937;122.04845833;-39.63136111;0.866349;4.01e-16;169.10;*;
