TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J0621+1002,36.5533,,0.0007
,J0621+2514,83.633,,0.003
,J0621-55,22.0,,
,J0622+3749,,,
,J0623+0340,54.0,,4.0
2.2e-06,J0624-0424,70.835,1.9e-05,0.011
,J0625+10,78.0,,15.0
,J0627+0649,86.6,,0.08
,J0627+0706,138.25,,0.07
,J0627+16,113.0,,
,J0628+0909,88.3,,0.2
2.9e-07,J0629+2415,84.1762,1.469e-05,0.005
,J0630+19,48.1,,
,J0630-0046,97.9,,0.2
,J0630-2834,34.425,1.29e-08,0.001
,J0631+0646,195.2,,0.2
1.57e-06,J0631+1036,125.36,3.78e-06,0.01
,J0633+0632,,,
,J0633+1746,2.89,,0.02
,J0633-2015,90.7,,0.2
,J0635+0533,,,
,J0636+5128,11.108159,,
,J0636-23,59.12,,0.12
,J0636-3044,15.4589,,0.0004
,J0636-4549,26.31,,0.15
,J0641+07,52.0,,4.0
,J0645+5158,18.24835,,
,J0645+80,49.7,,0.2
3e-05,J0646+0905,147.85,0.01003,0.07
,J0646-54,40.1,,
,J0647+0913,154.7,,1.2
,J0648-27,132.5,,1.1
,J0652-0142,116.3,,1.1
,J0653+4706,25.54,,
,J0653+8051,33.31882,,0.00071
,J0656-2228,32.39,,0.17
,J0656-5449,67.5,,1.0
,J0658+0022,115.6,,0.5
3.1,J0659+1414,13.94,6.3e-08,0.09
,J0659-36,83.4,,0.2
,J0700+6418,8.77387,,0.00027
,J0702-4956,98.7,,0.1
,J0709+0458,44.2664,,0.0005
,J0709-5923,65.0,,2.0
,J0711+0931,46.238,,0.013
,J0711-6830,18.4096,,0.0002
,J0719-2545,253.89,,0.06
,J0720-3125,,,
,J0721-2038,76.01,,0.006
,J0725-1635,98.98,,0.03
,J0726-2612,69.4,,0.4
,J0729-1448,91.89,,0.07
,J0729-1836,61.293,,0.01
,J0732+2314,44.6724,,0.0001
,J0733-2345,190.2,,0.5
,J0734-1559,,,
,J0736-6304,19.4,,
,J0737-2202,95.59,,0.08
,J0737-3039A,48.916,,0.002
,J0737-3039B,48.92,,0.005
,J0738+6904,17.22,,0.02
7e-06,J0738-4042,160.896,0.000614,0.003
,J0740+6620,14.96179,,1e-05
,J0742+4110,20.82,,0.003
,J0742+4334,36.255,,0.003
7e-08,J0742-2822,73.728,5.19e-06,0.001
,J0744-2525,,,
5e-07,J0745-5353,121.38,0.0006217,0.02
,J0746-4529,134.57,,0.12
,J0747+6646,27.576,,0.003
2.9e-06,J0749-4247,104.595,2.48e-05,0.009
,J0750+57,26.7,,0.3
,J0750-6846,54.6,,0.2
,J0751+1807,30.2409,,0.0006
,J0753-0816,38.0,,
1.9e-08,J0754+3231,39.9863,3.78e-07,0.0014
,J0758-1528,63.327,,0.003
,J0758-30,86.5,,0.3
,J0802-5613,,,
,J0803+34,34.0,,2.0
,J0803-0942,21.1,,0.3
,J0804-3647,186.8,,0.2
,J0806+08,46.0,,
,J0806-4123,,,
,J0807-5421,165.03,,0.07
,J0808-3937,169.1,,0.2
1.4e-05,J0809-4753,228.3,0.00057,1.2
,J0811+37,16.95,,0.11
,J0812-3905,329.6,,0.12
,J0813+22,52.29,,0.05
1e-09,J0814+7429,5.75066,3.1e-09,0.00048
,J0815+0939,52.6589,,0.0079
,J0815+4611,11.2738,,0.0003
,J0818-3049,118.9,,0.2
,J0818-3232,131.8,,0.07
1.3e-07,J0820-1350,40.938,2.6e-07,0.003
,J0820-3826,195.5,,0.03
