I;NAME;RAJD;DECJD;DM;RM;
1282;B1925+18;291.79342500;18.86902778;264.50;417.00;
1283;B1925+188;291.85404167;18.94355556;99.00;74.40;
1284;B1925+22;291.78366667;22.58258333;186.50;215.70;
1285;J1928-0108;292.07887500;-1.14880556;125.80;-15.00;
1286;J1928+1245;292.18914000;12.76482611;179.23;60.00;
1287;J1928+1746;292.17730417;17.77489444;176.68;203.20;
1288;J1929+0132;292.42720137;1.54626750;53.46;-71.40;
1289;B1926+18;292.31991667;18.74986111;112.00;174.00;
1290;B1927+13;292.50394583;13.26975000;207.30;-2.30;
1291;J1930+2441;292.68916017;24.68376778;69.57;90.70;
1292;J1931-0144;292.88343750;-1.73958333;38.30;-50.00;
1293;B1929+15;292.98212500;15.61597222;140.00;199.00;
1294;B1929+10;293.05857083;10.99260556;3.18;-6.87;
1295;B1929+20;293.03343136;20.34622569;211.15;10.00;
1296;B1930+22;293.09475780;22.34763525;218.90;138.90;
1297;J1932-3655;293.02553333;-36.91716111;59.88;-8.00;
1298;B1930+13;293.34387083;13.08054722;177.01;-124.80;
1299;B1931+24;293.40763705;24.61100970;106.03;114.80;
1300;J1933-6211;293.38511117;-62.19635444;11.51;9.70;
1301;J1934+2352;293.69245833;23.88219444;355.80;-35.40;
1302;J1935+1159;293.81698333;11.98588889;188.76;-83.00;
1303;B1933+16;293.94927458;16.27777389;158.52;-10.20;
1304;B1933+15;294.00633333;15.61000000;165.00;192.60;
1305;J1937+1658;294.35378546;16.97848694;105.84;-2.80;
1306;B1935+25;294.25522667;25.73706556;53.22;26.00;
1307;J1938+0650;294.47275000;6.83500000;70.80;97.50;
1308;J1938+2213;294.55908333;22.22018889;93.00;140.50;
1309;B1937+21;294.91067162;21.58308871;71.02;-7.30;
1310;B1937+24;294.77331993;24.71544632;142.88;76.20;
1311;J1941+0121;295.31682917;1.36097222;51.87;-92.00;
1312;J1941+1026;295.38472500;10.44044444;138.91;-126.30;
1313;B1937-26;295.25169583;-26.03493056;50.04;-33.50;
1314;J1942-2019;295.70975000;-20.32305556;59.90;-17.00;
1315;J1943+0609;295.87138333;6.16600000;70.76;-11.00;
1316;B1940-12;295.85617215;-12.62844944;28.92;-75.40;
1317;J1944+0907;296.03887491;9.12306353;24.35;-37.80;
1318;B1941-17;296.02183272;-17.83640601;56.32;-40.00;
1319;B1942+17;296.13250000;17.92844444;175.00;-276.60;
1320;B1942-00;296.36832210;-0.68279835;59.71;-45.00;
1321;J1945+1211;296.29816667;12.19616667;92.70;-21.40;
1322;B1943+18;296.40041667;18.57225000;217.70;28.50;
1323;B1944+17;296.72101667;18.09478889;16.14;-45.34;
1324;B1944+22;296.60370833;22.74983333;141.50;2.00;
1325;J1946+2535;296.70458333;25.59763889;248.81;57.00;
1326;J1946+2611;296.69087500;26.19700000;165.00;-83.90;
1327;B1943-29;296.71555833;-29.22975000;44.31;-28.00;
1328;J1946+3417;296.60470790;34.28741392;110.18;4.60;
1329;J1946-5403;296.64373750;-54.06180833;23.73;12.90;
1330;B1946+35;297.10419458;35.66973806;129.37;118.96;
1331;B1946-25;297.35589428;-25.40027268;23.07;-13.00;
1332;J1949+3106;297.37348942;31.10105723;164.13;230.00;
1333;J1951+1123;297.78437500;11.39033333;31.29;-52.80;
